epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.5135496465259888,0.752975467660342,0.4329141073844543,0.4333279113920908,0.776643991200021,0.47706095346994454
2,0.4617932064891701,0.7663347098414458,0.4937260584511685,0.42881236277740287,0.7755102043519485,0.4723055736754367
3,0.43974057388647336,0.7799368472767594,0.4993166411129775,0.41015629298022005,0.8015873013169857,0.5566189207680102
4,0.4309456351893835,0.7826086957100846,0.5345508934094193,0.46722286770673566,0.751700680001793,0.36955432627074414
5,0.4333121136522189,0.7823658004124419,0.5212251388460194,0.43444377163640496,0.748299320133365,0.5031079622326642
6,0.4130460933947523,0.7966966238130723,0.5498911748267455,0.46710541905189046,0.7562358279347149,0.5721732316014237
7,0.3982023471603991,0.8008258441046426,0.58771580569074,0.42213874257881356,0.7777777780480937,0.6448442754686216
8,0.37799709422555916,0.814427981554434,0.6246179944433451,0.40820615497035506,0.7868480722920425,0.575958125524328
9,0.3658933305236533,0.816614039421429,0.6333783903528342,0.408397297605095,0.7857142853088119,0.5909850431186398
10,0.3442567540642588,0.841146465945597,0.7022472569304954,0.40391894830327457,0.7970521537895375,0.6529567164861283
11,0.3271246488620739,0.8452756862516452,0.694987936516803,0.4554899939739245,0.7811791384571534,0.6318837825764352
12,0.30710399981867725,0.8610638815249985,0.729152645966851,0.4442786124287819,0.7868480721568845,0.6068885677673771
13,0.2700668750514039,0.8809812971333552,0.7751742852574742,0.546256639992569,0.7857142858494437,0.5893044515522902
14,0.23907161162899684,0.8923973767885398,0.7880957227940905,0.6562217521289039,0.7721088432670992,0.5611896816729361
15,0.20877974004979444,0.9154724314544628,0.8331914943419414,0.5698436491884071,0.7755102042167906,0.5977715687107342
16,0.17762287561359816,0.9298032548116602,0.8497190874466343,0.6262561793770649,0.7755102038113169,0.5526296334505919
17,0.12484875887827819,0.9533641000728686,0.9085982742906157,0.6559035260390803,0.7732426299800138,0.623368365356758
18,0.10431352557054792,0.9570075297691534,0.9075418571157369,0.8293982979391707,0.7811791379165217,0.5712430818122008
19,0.09567804625703491,0.9652659703812496,0.9239733007984281,0.7656443628594448,0.7777777780480937,0.5686687615342411
20,0.06700538369296048,0.9737673062909886,0.9391011462169621,0.9294971369561695,0.7811791379165217,0.610265493728249
21,0.05353824467911053,0.9810541656690805,0.9673658587618305,0.8922217912684762,0.7789115650313241,0.6141003609908385
22,0.04754312170041919,0.9822686422296829,0.9608122731589934,1.2238809659637833,0.7630385484825186,0.596923391699511
23,0.06480082870525065,0.9771678406751529,0.9428728546860484,0.9160724740450074,0.7653061221786638,0.5932485954256764
24,0.03179153144216621,0.9895555015788196,0.9743133726788119,1.4292648165674706,0.7539682542385698,0.5558701148388318
25,0.03331989386766599,0.9883410250182172,0.9707997809179401,1.2316314211778359,0.7755102043519485,0.6110925199406247
26,0.06603622858106949,0.9759533641000728,0.9546791708293351,0.928711186866371,0.7800453510684491,0.6070369232598912
27,0.018322519053276812,0.9946563031478273,0.9887281729343355,1.2272502773202736,0.7641723353305911,0.5957287565258605
28,0.036633744483433546,0.9863978625212534,0.9639740281251633,1.4808208290952134,0.7755102038113169,0.5445953815120727
29,0.029546919392303306,0.9890697109545786,0.9784986773575235,1.317018831533099,0.7630385490231503,0.5437413274887349
30,0.024799992549177717,0.9917415594168592,0.9879829956424859,1.1060006788798742,0.7902494327011022,0.5772017680751853
31,0.02639803691172892,0.9912557687636628,0.989255920771511,1.406426225389753,0.7698412701115857,0.5068847035560441
32,0.005663909223781234,0.9982997328151567,0.9951104892842181,1.5159899231527938,0.7902494327011022,0.5675664778950383
33,0.009845222827839537,0.9965994656303133,0.9940922274326476,1.594884819454617,0.7755102044871064,0.5454545454545455
34,0.02215244382812592,0.991984454714502,0.9812919586892414,1.3506985248621899,0.792517007073037,0.5835237381442141
35,0.042753806286589854,0.9842118047266467,0.9596628924969796,1.1975293397362812,0.784580499136529,0.5832092347072562
36,0.02867744039626055,0.9890697109690563,0.9756760806125407,1.302738173072841,0.7902494328362601,0.5511817822572277
37,0.03340511620388553,0.9890697109545786,0.9769688149711399,1.3067863349741549,0.7823129255755418,0.5689499022832356
38,0.014498456381162381,0.9946563031333495,0.9877977633521432,1.4901224412615337,0.759637187803143,0.5799265878992759
39,0.009119324825646357,0.9970852562545542,0.9953221294483389,1.3856061415877743,0.7879818596807467,0.6023895499621416
40,0.013956950693956232,0.9956278843818315,0.9929252251179504,1.6719832106782735,0.7755102038113169,0.56614608723913
41,0.017167073099153243,0.9924702453242652,0.986087133949463,1.7983379391045258,0.7528344668498655,0.5491709262806835
42,0.02993491752152796,0.9907699781394219,0.9871039631109401,1.2640330075136388,0.795918366941465,0.6058730895193852
43,0.026000062630768348,0.9910128734515424,0.9815404766235236,1.2912546155674387,0.7823129254403839,0.5967569235807998
44,0.009468560793597336,0.9965994656303133,0.9909427281623633,1.699712560560698,0.7641723353305911,0.55513653634459
45,0.020627828795633185,0.9929560359774616,0.9813748875818646,1.7079031472844062,0.7585034010902284,0.4774318000517086
46,0.03351497252875311,0.9876123390818558,0.9666426609676749,1.3667833788865278,0.7551020404108527,0.5489188628846305
47,0.03496933559069659,0.9883410250326948,0.9662843552251766,1.3741354909883876,0.7811791379165217,0.5789768686693959
48,0.0126100343727625,0.9956278843818315,0.9907223486861048,1.447888421228413,0.766439909567368,0.5661314316129453
49,0.007249366717172376,0.9978139421909157,0.9977134834161293,1.449595335659797,0.7755102043519485,0.5743712370146493
